sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
24-MB01,,Bag,simple,"Default Category/Gear,Default Category/Gear/Bags",base,Joust Duffle Bag,"<p>The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p>
<ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul>",,,1,Taxable Goods,"Catalog, Search",36,33,,,joust-duffle-bag,,,,/m/b/mb01-blue-0.jpg,,/m/b/mb01-blue-0.jpg,,/m/b/mb01-blue-0.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,100,,,,,,,,,,,"activity=Gym|Hiking|Trail|Urban,erin_recommends=Yes,features_bags=Audio Pocket|Waterproof|Lightweight|Laptop Sleeve,material=Canvas|Cotton|Mesh|Polyester,sale=Yes,strap_bags=Adjustable|Cross Body|Padded|Shoulder|Single,style_bags=Messenger|Exercise|Tote",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,"24-MB05,24-MB03,24-MB04","2,3,1","24-WB05,24-WB02,24-WB01","3,2,1","24-UB02,24-MB03,24-MB06",",,",/m/b/mb01-blue-0.jpg,Image,,,,,,,,,,
24-MB01,de_DE,Bag,simple,,,Joust Seesack,"<p>Der sportliche Joust Seesack can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p>
<ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul>",,,,,Catalog,,,,,joust-seesack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-MB01,en_US,Bag,simple,,,Joust Duffle Bag,"<p>The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p>
<ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul>",,,,,Not Visible Individually,,,,,joust-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-MB04,,Bag,simple,"Default Category/Gear,Default Category/Gear/Bags,Default Category/Collections",base,Strive Shoulder Pack,"<p>Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p>
<ul>
<li>Zippered main compartment.</li>
<li>Front zippered pocket.</li>
<li>Side mesh pocket.</li>
<li>Cell phone pocket on strap.</li>
<li>Adjustable shoulder strap and top carry handle.</li>
</ul>",,,1,Taxable Goods,"Catalog, Search",32,32,"10/21/16, 2:10 AM",,strive-shoulder-pack,,,,/m/b/mb04-black-0.jpg,,/m/b/mb04-black-0.jpg,,/m/b/mb04-black-0.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM","10/21/16, 2:10 AM",,Block after Info Column,,,,,,"10/21/16, 2:10 AM",,,,,,,"activity=Gym|Hiking|Trail|Urban,erin_recommends=Yes,features_bags=Audio Pocket|Waterproof|Lightweight|Laptop Sleeve,material=Canvas|Cotton|Mesh|Polyester,sale=Yes,strap_bags=Adjustable|Cross Body|Padded|Shoulder|Single,style_bags=Messenger|Exercise|Tote",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,"/m/b/mb04-black-0.jpg,/m/b/mb04-black-0_alt1.jpg","Image,Image",,,,,,,,,,
24-MB04,de_DE,Bag,simple,,,Strive Schultertasche,"<p>Bequemlichkeit ist so gut wie nichts, wenn Ihr Tag is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p>
<ul>
<li>Zippered main compartment.</li>
<li>Front zippered pocket.</li>
<li>Side mesh pocket.</li>
<li>Cell phone pocket on strap.</li>
<li>Adjustable shoulder strap and top carry handle.</li>
</ul>",,,,,,,,,,strive-schultertasche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bild,Bild",,,,,,,,,,
24-MB04,en_US,Bag,simple,,,Strive Shoulder Pack,"<p>Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p>
<ul>
<li>Zippered main compartment.</li>
<li>Front zippered pocket.</li>
<li>Side mesh pocket.</li>
<li>Cell phone pocket on strap.</li>
<li>Adjustable shoulder strap and top carry handle.</li>
</ul>",,,,,,,,,,strive-shoulder-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Imagee,Imagee",,,,,,,,,,
24-MB03,,Bag,simple,"Default Category/Gear,Default Category/Gear/Bags",base,Crown Summit Backpack,"<p>The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p>
<ul>
<li>Top handle.</li>
<li>Grommet holes.</li>
<li>Two-way zippers.</li>
<li>H 20"" x W 14"" x D 12"".</li>
<li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li>
<ul>",,,1,Taxable Goods,"Catalog, Search",38,,,,crown-summit-backpack,,,,/m/b/mb03-black-0.jpg,,/m/b/mb03-black-0.jpg,,/m/b/mb03-black-0.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,,,"activity=Gym|Hiking|Overnight|School|Trail|Travel|Urban,features_bags=Audio Pocket|Waterproof|Lightweight|Reflective|Laptop Sleeve,material=Nylon|Polyester,strap_bags=Adjustable|Double|Padded,style_bags=Backpack",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,"/m/b/mb03-black-0.jpg,/m/b/mb03-black-0_alt1.jpg","Image,Image",,,,,,,,,,
24-MB03,de_DE,Bag,simple,,,Crown Summit Rucksack,"<p>Der Crown Summit Rucksack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p>
<ul>
<li>Top handle.</li>
<li>Grommet holes.</li>
<li>Two-way zippers.</li>
<li>H 20"" x W 14"" x D 12"".</li>
<li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li>
<ul>",,,,,,,,,,crown-summit-rucksack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-MB03,en_US,Bag,simple,,,Crown Summit Backpack,"<p>The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p>
<ul>
<li>Top handle.</li>
<li>Grommet holes.</li>
<li>Two-way zippers.</li>
<li>H 20"" x W 14"" x D 12"".</li>
<li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li>
<ul>",,,,,,,,,,crown-summit-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-MB05,,Bag,simple,"Default Category/Gear,Default Category/Gear/Bags,Default Category/Collections,Default Category/Collections/New Luma Yoga Collection",base,Wayfarer Messenger Bag,"<p>Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p>
<ul>
<li>Multiple internal zip pockets.</li>
<li>Made of durable nylon.</li>
</ul>",,,1,Taxable Goods,"Catalog, Search",45,,,,wayfarer-messenger-bag,,,,/m/b/mb05-black-0.jpg,,/m/b/mb05-black-0.jpg,,/m/b/mb05-black-0.jpg,,,,"10/21/16, 9:10 AM","10/21/16, 9:10 AM",,,Block after Info Column,,,,,,,,,,,,,"activity=Gym|Overnight|Travel,features_bags=Waterproof|Lightweight|Reflective|Laptop Sleeve|Lockable,material=Nylon|Polyester,new=Yes,strap_bags=Adjustable|Detachable|Double|Padded|Shoulder,style_bags=Messenger|Laptop",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,,,,,/m/b/mb05-black-0.jpg,Image,,,,,,,,,,
24-MB05,de_DE,Bag,simple,,,Wayfarer Messenger Tasche,"<p>Perfekt für den Unterricht, die Arbeit oder das Fitnessstudio, die Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p>
<ul>
<li>Multiple internal zip pockets.</li>
<li>Made of durable nylon.</li>
</ul>",,,,,,,,,,wayfarer-messenger-tasche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-MB05,en_US,Bag,simple,,,Wayfarer Messenger Bag,"<p>Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p>
<ul>
<li>Multiple internal zip pockets.</li>
<li>Made of durable nylon.</li>
</ul>",,,,,,,,,,wayfarer-messenger-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
